ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio
60002009286,Fairlands Elementary,37.6924,-121.874,764.0,29.0,1,1,26.344827586206897,0.05098563314400267,0.06561710626799037
60002009287,Valley View Elementary,37.6603,-121.8622,589.0,30.0,1,1,19.633333333333333,0.03929168058803876,0.04846678023850085
60002009288,Walnut Grove Elementary,37.6732,-121.8855,669.0,27.0,1,1,24.77777777777778,0.04463748747076512,0.06161272004542874
60002009289,Harvest Park Middle,37.6756,-121.8827,1127.0,47.0,2,1,23.97872340425532,0.07524223187437354,0.05957084345210048
60002009290,Vintage Hills Elementary,37.6555,-121.8554,584.0,23.0,1,1,25.391304347826086,0.03895756765786836,0.06318050514776684
60002009682,Pleasanton Middle,37.6547,-121.8839,1042.0,52.0,2,1,20.03846153846154,0.06956231206147678,0.04950203118857294
60002109291,Sunol Glen Elementary,37.593889,-121.885035,262.0,12.0,1,1,21.833333333333332,0.017440694954894753,0.054088586030664396
60002200374,Mendota Continuation High,36.754982,-120.390303,33.0,2.0,3,4,16.5,0.0021383227530905446,0.04045996592844975
60002200395,Mendota High,36.748115,-120.378616,1006.0,44.0,3,1,22.863636363636363,0.06715669896424992,0.0567213876413195
60002207970,Mendota Community Day,36.754982,-120.390303,2.0,1.0,3,4,2.0,6.682258603407952e-05,0.003407155025553663
60002209292,McCabe Elementary,36.759553,-120.387228,960.0,37.0,1,1,25.945945945945947,0.06408286000668226,0.06459781757907823
60002209293,Mendota Junior High,36.748064,-120.382764,560.0,25.0,2,1,22.4,0.037353825593050456,0.0555366269165247
60002209294,Washington Elementary,36.755285,-120.383232,385.0,20.0,1,1,19.25,0.025659873037086535,0.047487223168654176
60002213773,Mendota Elementary,36.766354,-120.381563,857.0,33.0,1,1,25.96969696969697,0.05720013364517207,0.06465851014402973
60002503570,Aurelia Pennekamp Elementary,33.8788,-118.389,452.0,20.0,1,1,22.6,0.03013698630136986,0.05604770017035776
60002503573,Grand View Elementary,33.8944,-118.4126,498.0,22.0,1,1,22.636363636363637,0.033210825258937524,0.056140622580145585
60002503575,Meadows Avenue Elementary,33.8889,-118.3911,397.0,17.0,1,1,23.352941176470587,0.026461744069495488,0.05797174065537629
60002503576,Pacific Elementary,33.8895,-118.4028,518.0,22.0,1,1,23.545454545454547,0.03454727697961912,0.05846368282484127
60002505922,Opal Robinson Elementary,33.8779,-118.4043,261.0,12.0,1,1,21.75,0.017373872368860673,0.0538756388415673
60002506328,Mira Costa High,33.8747,-118.3894,2448.0,98.0,3,1,24.979591836734695,0.16351486802539258,0.06212842888433057
60002507535,Manhattan Beach Middle,33.8896,-118.3837,1249.0,55.0,2,1,22.70909090909091,0.08339458737053124,0.05632646739972124
60002604544,Frazier Mountain High,34.799712,-118.891466,254.0,12.0,3,1,21.166666666666668,0.016906114266622117,0.05238500851788757
60002609485,El Tejon Elementary,34.873258,-118.887523,186.0,9.0,2,1,20.666666666666668,0.012362178416304711,0.051107325383304945
60002609486,Frazier Park Elementary,34.822548,-118.939602,244.0,12.0,1,1,20.333333333333332,0.016237888406281323,0.05025553662691652
60002702451,Tuscany Hills Elementary,33.6862,-117.289,636.0,30.0,1,1,21.2,0.042432342131640495,0.05247018739352641
60002702452,Donald Graham Elementary,33.6059,-117.257,446.0,23.0,1,1,19.391304347826086,0.029736050785165384,0.04784830753277535
60002705011,David A. Brown Middle,33.5916,-117.2762,1005.0,42.0,2,1,23.928571428571427,0.06708987637821584,0.059442686785105864
60002707605,William Collier Elementary,33.6166,-117.301,693.0,30.0,1,1,23.1,0.04624122953558303,0.057325383304940386
60002709488,Ortega High,33.6817,-117.336,455.0,26.0,3,4,17.5,0.0303374540594721,0.043015332197615
60002709489,Elsinore High,33.6241,-117.2788,2105.0,89.0,3,1,23.651685393258425,0.1405947210157033,0.058735141550064124
60002709490,Elsinore Elementary,33.6724,-117.3323,494.0,25.0,1,1,19.76,0.032943534914801204,0.04879045996592846
60002709491,Machado Elementary,33.6835,-117.3759,583.0,27.0,1,1,21.59259259259259,0.038890745071834286,0.053473405262161655
60002709492,Wildomar Elementary,33.603,-117.2723,570.0,14.0,1,1,40.714285714285715,0.03802205145339125,0.10233633487466538
60002709493,Elsinore Middle,33.6727,-117.3403,919.0,40.0,2,1,22.975,0.061343133979285,0.05700596252129473
60002709496,Terra Cotta Middle,33.694,-117.3928,1057.0,44.0,2,1,24.022727272727273,0.07056465085198797,0.0596832894533065
60002709497,Railroad Canyon Elementary,33.6644,-117.3092,784.0,38.0,1,1,20.63157894736842,0.052322084864684267,0.05101766340894827
60002709498,Withrow Elementary,33.6832,-117.3956,649.0,28.0,1,1,23.178571428571427,0.04330103575008353,0.057526162083231934
60002710280,Temescal Canyon High,33.7033,-117.3479,2161.0,91.0,3,1,23.747252747252748,0.14433678583361176,0.05897935114289459
60002710281,Luiseno,33.725,-117.4245,822.0,38.0,1,1,21.63157894736842,0.054861343133979286,0.05357302967811352
60002710352,Rice Canyon Elementary,33.6979,-117.4015,607.0,32.0,1,1,18.96875,0.04049448713665219,0.046768526405451455
60002710587,Cottonwood Canyon Elementary,33.6582,-117.2567,782.0,35.0,1,1,22.34285714285714,0.052188439692616106,0.05539060598685812
60002710588,Canyon Lake Middle,33.6594,-117.2537,934.0,40.0,2,1,23.35,0.06234547276979619,0.05796422487223169
60002711036,Lakeside High,33.6693,-117.3827,1761.0,77.0,3,1,22.87012987012987,0.11760775141997995,0.056737980928781614
60002711037,Ronald Reagan Elementary,33.606,-117.242,560.0,25.0,1,1,22.4,0.037353825593050456,0.0555366269165247
60002712001,Earl Warren Elementary,33.6961,-117.3173,827.0,35.0,1,1,23.62857142857143,0.05519545606414968,0.0586760769043563
60002712094,Keith McCarthy Academy,33.682637,-117.335312,608.0,16.0,3,4,38.0,0.04056130972268627,0.09540034071550256
60002712772,Lakeland Village,33.6278,-117.3249,842.0,43.0,1,1,19.58139534883721,0.05619779485466088,0.04833405966483103
60002714467,Alberhill Elementary,33.709375,-117.381866,378.0,19.0,1,1,19.894736842105264,0.02519211493484798,0.04913476194745809
60002803647,Vail Ranch Middle,33.4818,-117.0772,834.0,36.0,2,1,23.166666666666668,0.05566321416638824,0.05749574105621807
60002805012,Paloma Elementary,33.5006,-117.1055,496.0,20.0,1,1,24.8,0.033077180086869364,0.0616695059625213
60002806276,Pauba Valley Elementary,33.4722,-117.0807,539.0,22.0,1,1,24.5,0.035950551286334786,0.060902896081771726
60002807222,Chaparral High,33.5384,-117.1475,2973.0,107.0,3,1,27.785046728971963,0.19859672569328432,0.06929739368561831
60002807223,Vintage Hills Elementary,33.5084,-117.0994,518.0,21.0,1,1,24.666666666666668,0.03454727697961912,0.061328790459965934
60002808270,Helen Hunt Jackson Elementary,33.4601,-117.0909,416.0,16.0,1,1,26.0,0.027731373204143,0.0647359454855196
60002808271,Abby Reinke Elementary,33.492,-117.0873,614.0,25.0,1,1,24.56,0.04096224523889075,0.061056218057921635
60002808272,James L. Day Middle,33.5274,-117.1452,919.0,39.0,2,1,23.564102564102566,0.061343133979285,0.05851133534268118
60002809499,Temecula Valley High,33.5022,-117.1181,2925.0,107.0,3,1,27.33644859813084,0.1953892415636485,0.06815106115365632
60002809500,Rancho Vista High,33.4877,-117.1041,202.0,15.0,3,4,13.466666666666667,0.013431339792849982,0.032708688245315164
60002809501,Temecula Middle,33.5033,-117.0967,974.0,39.0,2,1,24.974358974358974,0.06501837621115937,0.06211505700432447
60002809502,Vail Elementary,33.5031,-117.1364,483.0,22.0,1,1,21.954545454545453,0.032208486468426334,0.05439832739662382
60002809503,Rancho Elementary,33.5266,-117.1133,429.0,16.0,1,1,26.8125,0.028600066822586034,0.06681218057921635
60002809505,Margarita Middle,33.5168,-117.1286,779.0,36.0,2,1,21.63888888888889,0.05198797193451387,0.05359170925610449
60002809506,Temecula Elementary,33.5107,-117.1417,528.0,22.0,1,1,24.0,0.03521550283995991,0.0596252129471891
60002809684,Nicolas Valley Elementary,33.546466,-117.125722,705.0,25.0,1,1,28.2,0.047043100567991984,0.07035775127768314
60002810282,Red Hawk Elementary,33.4687,-117.0993,520.0,22.0,1,1,23.636363636363637,0.03468092215168727,0.05869598884931083
60002810353,Ysabel Barnett Elementary,33.5407,-117.1534,727.0,31.0,1,1,23.451612903225808,0.04851319746074173,0.05822388305764687
60002810589,Susan H. Nelson,33.4877,-117.1041,338.0,10.0,3,4,33.8,0.022519211493484795,0.08466780238500851
60002811038,Great Oak High,33.4527,-117.0922,3082.0,115.0,3,1,26.8,0.205880387570999,0.0667802385008518
60002811039,Alamos Elementary,33.5635,-117.1106,852.0,34.0,1,1,25.058823529411764,0.05686602071500167,0.06233089487924642
60002811040,Bella Vista Middle,33.5623,-117.1053,1365.0,51.0,2,1,26.764705882352942,0.09114600735048446,0.06669004910311656
60002811041,Crowne Hill Elementary,33.4972,-117.0754,495.0,23.0,1,1,21.52173913043478,0.03301035750083529,0.05329234871491001
60002811042,Susan La Vorgna Elementary,33.6048,-117.1042,809.0,30.0,1,1,26.966666666666665,0.053992649515536256,0.067206132879046
