ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio,total_athletes,norm_total_athletes
60004707393,South/West Park Elementary,37.7275,-121.4333,745.0,33.0,1,1,22.57575757575757,0.0497160040093551,0.0559857518971658,-4.0,0.0
60004707396,Louis J. Villalovoz Elementary,37.733,-121.4447,436.0,19.0,1,1,22.94736842105263,0.0290678249248245,0.0569353537164888,-4.0,0.0
60004707397,Melville S. Jacobson Elementary,37.7569,-121.4475,565.0,24.0,1,1,23.541666666666668,0.0376879385232208,0.058454003407155,-4.0,0.0
60004707398,Gladys Poet-Christian Elementary,37.7183,-121.4288,529.0,24.0,1,1,22.041666666666668,0.0352823254259939,0.0546209540034071,-4.0,0.0
60004707399,Earle E. Williams Middle,37.7306,-121.4446,808.0,38.0,2,1,21.26315789473684,0.0539258269295021,0.0526315789473684,-4.0,0.0
60004707400,Louis A. Bohn Elementary,37.7285,-121.4198,358.0,16.0,1,1,22.375,0.0238556632141663,0.0554727427597955,-4.0,0.0
60004707401,Wanda Hirsch Elementary,37.7145,-121.4403,452.0,18.0,1,1,25.11111111111111,0.0301369863013698,0.0624645088018171,-4.0,0.0
60004708341,Duncan-Russell Community Day,37.738162,-121.435824,28.0,2.0,3,4,14.0,0.0018042098229201,0.0340715502555366,-4.0,0.0
60004710394,Art Freiler,37.7474,-121.4618,776.0,35.0,1,1,22.17142857142857,0.0517875041764116,0.0549525431978583,-4.0,0.0
60004711784,George Kelly Elementary,37.7235,-121.4635,948.0,39.0,1,1,24.307692307692307,0.0632809889742733,0.0604114794915476,-4.0,0.0
60004712105,George and Evelyn Stein Continuation,37.738162,-121.435824,122.0,9.0,3,4,13.555555555555555,0.0080855329101236,0.0329358319136854,-4.0,0.0
60004712372,John C. Kimball High,37.732934,-121.474778,1621.0,59.0,3,1,27.47457627118644,0.1082525893752088,0.0685040279502208,461.0,0.19914346895074947
60004714472,Tracy Independent Study Charter,37.747601,-121.452584,279.0,13.0,4,1,21.46153846153846,0.0185766789174741,0.0531385139562311,0.0,0.0017130620985010706
60004807404,Paso Robles High,35.6173,-120.6703,2154.0,93.0,3,1,23.161290322580644,0.1438690277313732,0.0574820025278892,691.0,0.29764453961456105
60004807405,Liberty High (Continuation),35.6148,-120.6724,165.0,8.0,3,4,20.625,0.010958904109589,0.0510008517887563,-4.0,0.0
60004807406,Georgia Brown Dual Immersion Magnet Elementary,35.6506,-120.6956,644.0,22.0,1,1,29.272727272727277,0.0429669228199131,0.073098962366424,-4.0,0.0
60004807407,Glen Speck Elementary,35.632077,-120.694934,337.0,12.0,1,1,28.08333333333333,0.0224523889074507,0.0700596252129471,-4.0,0.0
60004807408,Winifred Pifer Elementary,35.6185,-120.6598,429.0,15.0,1,1,28.6,0.028600066822586,0.0713798977853492,-4.0,0.0
60004807409,George H. Flamson Middle,35.639752,-120.693112,661.0,29.0,2,1,22.79310344827586,0.0441029067824924,0.0565411502085413,-4.0,0.0
60004807410,Virginia Peterson Elementary,35.6003,-120.6556,396.0,18.0,1,1,22.0,0.0263949214834614,0.0545144804088586,-4.0,0.0
60004807411,Pat Butler Elementary,35.6103,-120.6734,437.0,16.0,1,1,27.3125,0.0291346475108586,0.0680898637137989,-4.0,0.0
60004807412,Daniel Lewis Middle,35.6243,-120.6694,698.0,33.0,2,1,21.151515151515152,0.0465753424657534,0.0523462908471426,-4.0,0.0
60004810395,Paso Robles Independent Study Center,35.639736,-120.692999,74.0,3.0,1,4,24.666666666666668,0.0048780487804878,0.0613287904599659,-4.0,0.0
60004810396,Kermit King Elementary,35.6502,-120.6767,417.0,16.0,1,1,26.0625,0.027798195790177,0.0648956558773424,-4.0,0.0
60004812391,Independence High,35.615233,-120.67112,124.0,5.0,3,4,24.8,0.0082191780821917,0.0616695059625213,-4.0,0.0
60004907413,Leffingwell High (Continuation),35.568918,-121.072715,14.0,1.0,3,4,14.0,0.000868693618443,0.0340715502555366,-4.0,0.0
60004907414,Coast Union High,35.568456,-121.067297,161.0,14.0,3,1,11.5,0.0106916137654527,0.0276831345826235,-4.0,0.0
60004907415,Cambria Grammar,35.554431,-121.07117,205.0,12.0,1,1,17.083333333333332,0.0136318075509522,0.0419505962521294,-4.0,0.0
60004907416,Santa Lucia Middle,35.560876,-121.076889,116.0,9.0,2,1,12.88888888888889,0.0076845973939191,0.0312322544009085,-4.0,0.0
60005102012,McKinley Elementary,39.362942,-121.697972,331.0,15.0,1,1,22.066666666666663,0.0220514533912462,0.0546848381601362,-4.0,0.0
60005102013,Sycamore Middle,39.362362,-121.699616,455.0,24.0,2,1,18.95833333333333,0.0303374540594721,0.0467419080068143,-4.0,0.0
60005102014,Wilson Elementary,39.36262,-121.691055,540.0,23.0,1,1,23.47826086956522,0.0360173738723688,0.0582919783719724,-4.0,0.0
60005102015,Esperanza High (Continuation),39.365161,-121.693579,35.0,2.0,3,4,17.5,0.0022719679251587,0.043015332197615,-4.0,0.0
60005102016,Gridley High,39.367916,-121.683913,668.0,33.0,3,1,20.24242424242424,0.044570664884731,0.0500232306024469,181.0,0.07922912205567452
60005201475,Alice Birney Elementary,40.7769,-124.1787,390.0,16.0,1,1,24.375,0.0259939859672569,0.060583475298126,-4.0,0.0
60005201476,Catherine L. Zane Middle,40.7894,-124.1468,467.0,24.0,2,1,19.45833333333333,0.031139325091881,0.0480195911413969,-4.0,0.0
60005201477,Eureka Senior High,40.7893,-124.1582,1281.0,60.0,3,1,21.35,0.0855329101236217,0.0528534923339012,234.0,0.1019271948608137
